1---{59: 21}
10---{59: 6}
108---{59: 1}
11---{59: 1}
116---{59: 1}
11th---{59: 2}
134---{59: 1}
14---{59: 2}
17---{59: 2}
18---{59: 7}
18th---{59: 1}
19---{59: 7}
1st---{59: 1}
2---{59: 13}
20---{59: 5}
2003---{58: 1}
2007---{58: 1}
2008---{58: 2}
2009---{58: 1}
2010---{58: 1}
2012---{59: 19}
2013---{59: 26}
2014---{59: 31}
2015---{58: 1, 59: 25}
2016---{58: 5, 59: 30, 60: 1, 61: 1, 62: 1, 63: 1, 64: 1}
2017---{58: 1, 59: 29}
2018---{59: 20}
2019---{59: 18}
21---{59: 4}
214---{59: 1}
22---{59: 2}
22217802download---{59: 1}
22813762---{59: 1}
22962194download---{59: 1}
23---{59: 2}
23304302---{59: 1}
23364851download---{59: 1}
23538724---{59: 1}
23643147download---{59: 1}
23821898---{59: 1}
23920636download---{59: 1}
23920639download---{59: 1}
23942926download---{59: 1}
24---{59: 1}
24170637---{59: 1}
24243832download---{59: 1}
24246272download---{59: 1}
2454955524863430download---{59: 1}
24551358---{59: 1}
24863430download---{59: 1}
24882086---{59: 1}
2492817724863430download---{59: 1}
25---{59: 8}
25026076---{59: 1}
25123321download---{59: 1}
25246629download---{59: 1}
25688811download---{59: 1}
25954426---{59: 1}
25979153---{59: 1}
26---{59: 3}
26210361download---{59: 1}
26269536---{59: 1}
26568605---{59: 1}
27---{59: 1}
27119322---{59: 1}
27318066---{59: 1}
27318067---{59: 1}
27375291---{59: 1}
27539198---{59: 1}
27680300---{59: 1}
27730248---{59: 1}
27830227---{59: 1}
29---{59: 1}
29584896---{59: 1}
29th---{59: 2}
2nd---{59: 1}
3---{58: 1, 59: 6}
30036853---{59: 1}
30196720---{59: 1}
311---{59: 1}
31206159---{59: 1}
33---{59: 1}
34---{59: 2}
37---{59: 1}
3rd---{59: 2}
4---{59: 5}
40---{59: 1}
5---{58: 1, 59: 8}
5000---{63: 1}
50th---{59: 3}
55---{59: 1}
56---{59: 1}
58---{59: 2}
5th---{59: 1}
6---{59: 8}
61---{59: 1}
64---{59: 1}
66---{59: 1}
6th---{59: 1, 63: 1}
7---{59: 5}
70---{59: 1}
79---{59: 1}
8---{59: 6}
81---{59: 1}
82---{59: 1}
83---{59: 2}
8th---{59: 4}
9---{59: 3}
92697---{63: 1}
96---{59: 2}
a---{58: 36, 59: 80, 60: 16, 61: 16, 62: 3, 64: 16}
aa---{59: 1}
aaai---{59: 1}
aalto---{58: 1}
aarts---{59: 1}
abel---{59: 4}
aberdeen---{59: 2}
able---{60: 1, 61: 1, 64: 1}
about---{58: 1, 59: 1}
abraham---{59: 1}
ac---{59: 1}
acad---{59: 3}
acceptance---{59: 13}
accepted---{59: 9}
access---{59: 1}
accessible---{59: 1}
accountability---{59: 1}
achieve---{59: 1}
ackerman---{59: 1}
acm---{59: 31}
action---{59: 1}
actionable---{59: 1}
active---{59: 2}
activities---{59: 1}
adaptation---{58: 1, 59: 4}
addition---{58: 2}
administration---{59: 1}
admission---{59: 1}
admissions---{59: 1}
adopt---{59: 4}
adoption---{59: 1}
adults---{58: 2, 59: 1}
advanced---{59: 1}
advancement---{59: 1}
advice---{59: 2}
advise---{60: 1, 61: 1, 64: 1}
advised---{58: 2, 60: 3, 61: 3, 64: 3}
advisement---{58: 2}
advisor---{58: 2}
advisors---{60: 1, 61: 1, 64: 1}
ae---{59: 1}
affect---{58: 1, 59: 1}
affects---{59: 1}
africa---{58: 1}
after---{59: 5}
ag---{59: 1}
agha---{59: 3}
aging---{59: 1}
aim---{58: 2}
aims---{58: 1}
akkina---{59: 2}
al---{59: 2}
alan---{59: 1}
alarm---{59: 2}
alcohol---{59: 1}
alert---{59: 1, 62: 1}
alerting---{62: 1}
alerts---{62: 1}
alfred---{59: 1}
ali---{59: 2}
all---{58: 1}
also---{58: 1, 60: 1, 61: 1, 64: 1}
although---{60: 1, 61: 1, 64: 1}
alumni---{58: 1}
always---{60: 1, 61: 1, 64: 1}
am---{58: 20, 59: 14}
ambulatory---{59: 1}
amcis---{59: 1}
amendment---{59: 1}
american---{59: 4}
americas---{59: 1}
amia---{59: 14}
amid---{58: 1}
among---{59: 4}
an---{58: 6, 59: 30, 60: 2, 61: 2, 64: 2}
analysis---{59: 7, 62: 1}
analyst---{58: 2}
analyze---{59: 1}
analyzers---{59: 1}
analyzing---{59: 1, 62: 1}
and---{58: 90, 59: 74, 60: 16, 61: 16, 62: 13, 63: 1, 64: 16}
angeles---{59: 1}
animal---{59: 1}
ann---{59: 1}
annu---{59: 4}
annual---{59: 14}
answer---{58: 1}
antonio---{59: 3}
anyone---{58: 1}
api---{58: 1}
app---{58: 1, 59: 1}
appl---{59: 1}
application---{62: 1}
applications---{58: 2, 59: 2}
applied---{59: 1}
apply---{58: 1}
applying---{59: 3}
appreciate---{58: 1}
approach---{58: 1, 59: 2}
apps---{59: 12, 62: 1}
apr---{59: 3}
ar---{59: 1}
arbor---{59: 1}
architects---{59: 2}
architectural---{58: 1}
are---{58: 1, 59: 2, 60: 10, 61: 10, 64: 10}
aronson---{59: 1}
art---{58: 1}
article---{59: 4}
artificial---{58: 1, 59: 1}
as---{58: 22, 59: 4, 60: 7, 61: 7, 62: 1, 64: 7}
